sample,fastq_1,fastq_2,strandedness
SRR17736336,fastq/SRR17736336_1.fastq.gz,fastq/SRR17736336_3.fastq.gz,auto
SRR17736337,fastq/SRR17736337_1.fastq.gz,fastq/SRR17736337_3.fastq.gz,auto
SRR17736338,fastq/SRR17736338_1.fastq.gz,fastq/SRR17736338_3.fastq.gz,auto
SRR17736339,fastq/SRR17736339_1.fastq.gz,fastq/SRR17736339_3.fastq.gz,auto
SRR17736340,fastq/SRR17736340_1.fastq.gz,fastq/SRR17736340_3.fastq.gz,auto
SRR17736341,fastq/SRR17736341_1.fastq.gz,fastq/SRR17736341_3.fastq.gz,auto
SRR17736342,fastq/SRR17736342_1.fastq.gz,fastq/SRR17736342_3.fastq.gz,auto
SRR17736343,fastq/SRR17736343_1.fastq.gz,fastq/SRR17736343_3.fastq.gz,auto
SRR17736344,fastq/SRR17736344_1.fastq.gz,fastq/SRR17736344_3.fastq.gz,auto
SRR17736345,fastq/SRR17736345_1.fastq.gz,fastq/SRR17736345_3.fastq.gz,auto
SRR17736346,fastq/SRR17736346_1.fastq.gz,fastq/SRR17736346_3.fastq.gz,auto
SRR17736347,fastq/SRR17736347_1.fastq.gz,fastq/SRR17736347_3.fastq.gz,auto
SRR17736348,fastq/SRR17736348_1.fastq.gz,fastq/SRR17736348_3.fastq.gz,auto
SRR17736349,fastq/SRR17736349_1.fastq.gz,fastq/SRR17736349_3.fastq.gz,auto
SRR17736350,fastq/SRR17736350_1.fastq.gz,fastq/SRR17736350_3.fastq.gz,auto
SRR17736351,fastq/SRR17736351_1.fastq.gz,fastq/SRR17736351_3.fastq.gz,auto
SRR17736352,fastq/SRR17736352_1.fastq.gz,fastq/SRR17736352_3.fastq.gz,auto
SRR17736353,fastq/SRR17736353_1.fastq.gz,fastq/SRR17736353_3.fastq.gz,auto
SRR17736354,fastq/SRR17736354_1.fastq.gz,fastq/SRR17736354_3.fastq.gz,auto
SRR17736355,fastq/SRR17736355_1.fastq.gz,fastq/SRR17736355_3.fastq.gz,auto
SRR17736356,fastq/SRR17736356_1.fastq.gz,fastq/SRR17736356_3.fastq.gz,auto
SRR17736357,fastq/SRR17736357_1.fastq.gz,fastq/SRR17736357_3.fastq.gz,auto
SRR17736358,fastq/SRR17736358_1.fastq.gz,fastq/SRR17736358_3.fastq.gz,auto
SRR17736359,fastq/SRR17736359_1.fastq.gz,fastq/SRR17736359_3.fastq.gz,auto
SRR17736360,fastq/SRR17736360_1.fastq.gz,fastq/SRR17736360_3.fastq.gz,auto
SRR17736361,fastq/SRR17736361_1.fastq.gz,fastq/SRR17736361_3.fastq.gz,auto
SRR17736362,fastq/SRR17736362_1.fastq.gz,fastq/SRR17736362_3.fastq.gz,auto
SRR17736363,fastq/SRR17736363_1.fastq.gz,fastq/SRR17736363_3.fastq.gz,auto
SRR17736364,fastq/SRR17736364_1.fastq.gz,fastq/SRR17736364_3.fastq.gz,auto
SRR17736365,fastq/SRR17736365_1.fastq.gz,fastq/SRR17736365_3.fastq.gz,auto
SRR17736366,fastq/SRR17736366_1.fastq.gz,fastq/SRR17736366_3.fastq.gz,auto
SRR17736367,fastq/SRR17736367_1.fastq.gz,fastq/SRR17736367_3.fastq.gz,auto
SRR17736368,fastq/SRR17736368_1.fastq.gz,fastq/SRR17736368_3.fastq.gz,auto
SRR17736369,fastq/SRR17736369_1.fastq.gz,fastq/SRR17736369_3.fastq.gz,auto
SRR17736370,fastq/SRR17736370_1.fastq.gz,fastq/SRR17736370_3.fastq.gz,auto
SRR17736371,fastq/SRR17736371_1.fastq.gz,fastq/SRR17736371_3.fastq.gz,auto
SRR17736372,fastq/SRR17736372_1.fastq.gz,fastq/SRR17736372_3.fastq.gz,auto
SRR17736373,fastq/SRR17736373_1.fastq.gz,fastq/SRR17736373_3.fastq.gz,auto
SRR17736374,fastq/SRR17736374_1.fastq.gz,fastq/SRR17736374_3.fastq.gz,auto
SRR17736375,fastq/SRR17736375_1.fastq.gz,fastq/SRR17736375_3.fastq.gz,auto
SRR17736376,fastq/SRR17736376_1.fastq.gz,fastq/SRR17736376_3.fastq.gz,auto
SRR17736377,fastq/SRR17736377_1.fastq.gz,fastq/SRR17736377_3.fastq.gz,auto
SRR17736378,fastq/SRR17736378_1.fastq.gz,fastq/SRR17736378_3.fastq.gz,auto
SRR17736379,fastq/SRR17736379_1.fastq.gz,fastq/SRR17736379_3.fastq.gz,auto
SRR17736380,fastq/SRR17736380_1.fastq.gz,fastq/SRR17736380_3.fastq.gz,auto
SRR17736381,fastq/SRR17736381_1.fastq.gz,fastq/SRR17736381_3.fastq.gz,auto
SRR17736382,fastq/SRR17736382_1.fastq.gz,fastq/SRR17736382_3.fastq.gz,auto
